dataset,project,model,n_instances,n_features,minority_class_percentage,repeat,fold,precision,recall,f1_score,g_mean,accuracy,auc,mcc,PD,PF
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,3,1,0.3488372093023256,0.234375,0.2803738317757009,0.3997513431667696,0.4934210526315789,0.4731889204545455,-0.09186777515639809,0.234375,0.3181818181818182
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,3,1,0.35714285714285715,0.15625,0.21739130434782608,0.3525475467611039,0.5263157894736842,0.4621803977272727,-0.06151028265440299,0.15625,0.20454545454545456
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,3,1,0.3125,0.3125,0.3125,0.39528470752104744,0.42105263157894735,0.3798828125,-0.1875,0.3125,0.5
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,3,1,0.27906976744186046,0.1875,0.22429906542056074,0.3484951414817194,0.45394736842105265,0.40340909090909094,-0.18062138844308775,0.1875,0.3522727272727273
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,3,1,0.3870967741935484,0.1875,0.25263157894736843,0.3834280186091588,0.5328947368421053,0.4335049715909091,-0.03481089004852198,0.1875,0.2159090909090909
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,3,2,0.4067796610169492,0.375,0.3902439024390244,0.47523917423469286,0.506578947368421,0.48863636363636365,-0.02302561116786898,0.375,0.3977272727272727
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,3,2,0.5454545454545454,0.46875,0.5042016806722689,0.5792947318624919,0.6118421052631579,0.6274857954545454,0.18972947472461735,0.46875,0.2840909090909091
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,3,2,0.59375,0.296875,0.3958333333333333,0.5030094093643686,0.618421052631579,0.603515625,0.18062686771604355,0.296875,0.14772727272727273
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,3,2,0.31343283582089554,0.328125,0.32061068702290074,0.39573363975831477,0.4144736842105263,0.3903586647727273,-0.19352290153073062,0.328125,0.5227272727272727
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,3,2,0.3220338983050847,0.296875,0.3089430894308943,0.40240752749149483,0.4407894736842105,0.41060014204545453,-0.15974017747709104,0.296875,0.45454545454545453
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,3,2,0.40350877192982454,0.359375,0.38016528925619836,0.46960149933940604,0.506578947368421,0.4823330965909091,-0.027524094128159017,0.359375,0.38636363636363635
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,3,3,0.423728813559322,0.390625,0.4065040650406504,0.4895934073754002,0.5197368421052632,0.5021306818181819,0.004317302093975434,0.390625,0.38636363636363635
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,3,3,0.4,0.40625,0.40310077519379844,0.47561264319153285,0.4934210526315789,0.4735440340909091,-0.036856637166720586,0.40625,0.4431818181818182
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,3,3,0.5882352941176471,0.15625,0.24691358024691357,0.37923742263557364,0.5986842105263158,0.5314275568181818,0.12016032071277435,0.15625,0.07954545454545454
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,3,3,0.2911392405063291,0.359375,0.32167832167832167,0.3614994027406106,0.3618421052631579,0.3409978693181818,-0.27372741720486593,0.359375,0.6363636363636364
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,3,3,0.3064516129032258,0.296875,0.30158730158730157,0.3896294130907657,0.42105263157894735,0.35706676136363635,-0.1926528033517711,0.296875,0.48863636363636365
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,3,3,0.35185185185185186,0.296875,0.3220338983050847,0.42284715431121317,0.47368421052631576,0.4295099431818182,-0.10404161737538839,0.296875,0.3977272727272727
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,3,4,0.423728813559322,0.390625,0.4065040650406504,0.4895934073754002,0.5197368421052632,0.5021306818181819,0.004317302093975434,0.390625,0.38636363636363635
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,3,4,0.44642857142857145,0.390625,0.4166666666666667,0.5030094093643686,0.5394736842105263,0.4997336647727273,0.03925480262618549,0.390625,0.3522727272727273
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,3,4,0.46875,0.234375,0.3125,0.43485401155288467,0.5657894736842105,0.5093217329545454,0.049887420607288215,0.234375,0.19318181818181818
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,3,4,0.30864197530864196,0.390625,0.3448275862068966,0.37688918072220456,0.375,0.3500532670454546,-0.2431829280302265,0.390625,0.6363636363636364
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,3,4,0.234375,0.234375,0.234375,0.322289836383904,0.35526315789473684,0.3312322443181818,-0.3224431818181818,0.234375,0.5568181818181818
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,3,4,0.36538461538461536,0.296875,0.3275862068965517,0.4307515235028194,0.4868421052631579,0.4675071022727273,-0.08130545444849886,0.296875,0.375
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,3,5,0.3559322033898305,0.3333333333333333,0.3442622950819672,0.43704832221970163,0.47368421052631576,0.453183520599251,-0.09465129172832479,0.3333333333333333,0.42696629213483145
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,3,5,0.40816326530612246,0.31746031746031744,0.35714285714285715,0.46262100205922496,0.5263157894736842,0.4844836811128946,-0.008835190693946435,0.31746031746031744,0.3258426966292135
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,3,5,0.3448275862068966,0.15873015873015872,0.21739130434782608,0.3533326266687867,0.5263157894736842,0.4757446049580881,-0.06864699687629443,0.15873015873015872,0.21348314606741572
